stars,comment
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I CAN NOT USE THE LAPTOP, WINDOWS NEEDS TO BE RELOADED.  THE SELLER DID NOT RETURN PHONE CALLS AND THE RETURN DATE EXPIRED IN MARCH, PURCHASED FOR TAX RETURNS END OF JANUARY.  FEELING SCAMMED\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Great little computer!\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Ad offered a new machine. Machine delivered is used. Warranty expires on Dec 24 two days from now!\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Good computer for a good price\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  Laptop is amazing , it's fast and display is good. We can definitely recommend to students and for office purposes.\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Not sure at this time if the touch screen is worthy of the extra cost!\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Only thing I don’t like is even with turning on keyboard light, which has to be continually pressed, difficult to see characters on keys.\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  It cannot open the system to the desktop when it is first used, and its warranty time is also wrong. I bought the computer in January 2020, but the warranty list shows that its warranty period can only reach November 2020. I I seriously suspect that this computer has been used. I tried to contact the seller and ask why? But he didn't reply to me any information.\n"", '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  When i tried to start the computer the first time it said ""No Bootable Item"".  I go to Dell.com/support and find out the warranty expired 26 Jun 2019.  I ordered the computer in January on 2020.  Avoid this product and seller at all cost.  TOTAL RIP OFF!!!!!!\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Overall good laptop for casual  use.  I am not a fan of the backlit keyboard because it can be difficult to see the keys sometimes.  I would recommend this laptop to anyone looking for a fast, easy to use solution for shopping, reading, and reasearch.\n', '\n  \n']"
